ObservationID	SubLocationID	Count
146047	2977	0
146047	2978	1
146047	2979	0
146047	2980	5
146047	2981	1
146047	2982	5
146048	2977	0
146048	2978	1
146048	2979	0
146048	2980	5
146048	2981	1
146048	2982	5
146049	5724	2
146049	5725	2
146049	5726	3
146049	5727	0
146049	5728	3
146049	5729	1
146050	5724	2
146050	5725	2
146050	5726	3
146050	5727	0
146050	5728	3
146050	5729	1
146051	2865	2
146051	2866	2
146051	2867	2
146051	2868	2
146051	2869	3
146051	2870	0
146052	2865	5
146052	2866	1
146052	2867	0
146052	2868	0
146052	2869	1
146052	2870	0
146053	2865	2
146053	2866	1
146053	2867	2
146053	2868	2
146053	2869	2
146053	2870	0
146054	6138	1
146054	6139	1
146054	6140	2
146054	6141	0
146054	6142	1
146054	6143	4
146055	5022	3
146055	5023	4
146055	5024	2
146055	5025	0
146055	5026	2
146055	5027	0
146059	6875	0
146059	6876	1
146059	6877	0
146059	6878	1
146059	6879	2
146059	6880	1
146060	6875	0
146060	6876	1
146060	6877	0
146060	6878	0
146060	6879	0
146060	6880	1
146061	6875	2
146061	6876	1
146061	6877	1
146061	6878	0
146061	6879	1
146061	6880	2
146062	6330	6
146062	6331	12
146062	6332	8
146062	6333	7
146062	6334	6
146062	6335	4
146063	5796	0
146063	5797	3
146063	5798	0
146063	5799	0
146063	5800	0
146063	5801	0
146064	2977	3
146064	2978	1
146064	2979	0
146064	2980	3
146064	2981	0
146064	2982	2
146065	2977	1
146065	2978	2
146065	2979	0
146065	2980	1
146065	2981	1
146065	2982	1
146066	4950	2
146066	4951	1
146066	4952	1
146066	4953	2
146066	4954	1
146066	4955	3
146067	4950	7
146067	4951	5
146067	4952	1
146067	4953	50
146067	4954	1
146067	4955	45
146068	4950	4
146068	4951	3
146068	4952	2
146068	4953	21
146068	4954	0
146068	4955	4
146069	3093	0
146069	3094	0
146069	3095	0
146069	3096	0
146069	3097	0
146069	3098	0
146070	3093	0
146070	3094	0
146070	3095	0
146070	3096	0
146070	3097	1
146070	3098	0
146071	3093	0
146071	3094	0
146071	3095	0
146071	3096	0
146071	3097	4
146071	3098	0
146072	3459	2
146072	3460	2
146072	3461	0
146072	3462	2
146072	3463	4
146072	3464	4
146073	6048	0
146073	6049	2
146073	6050	0
146073	6051	0
146073	6052	0
146073	6053	4
146074	3459	2
146074	3460	4
146074	3461	2
146074	3462	2
146074	3463	3
146074	3464	2
146075	3459	4
146075	3460	2
146075	3461	4
146075	3462	4
146075	3463	2
146075	3464	4
146076	2973	2
146076	2974	0
146076	2975	1
146076	2976	0
146077	2973	0
146077	2974	0
146077	2975	2
146077	2976	0
146078	2973	1
146078	2974	1
146078	2975	1
146078	2976	1
146079	7233	1
146079	7234	7
146079	7235	2
146079	7236	3
146079	7237	2
146079	7238	2
146080	6797	1
146080	6798	1
146080	6799	1
146080	6800	0
146080	6801	0
146080	6802	1
146081	6797	0
146081	6798	0
146081	6799	1
146081	6800	0
146081	6801	0
146081	6802	0
146082	6797	0
146082	6798	0
146082	6799	0
146082	6800	0
146082	6801	0
146082	6802	1
146083	5796	0
146083	5797	3
146083	5798	5
146083	5799	3
146083	5800	4
146083	5801	0
146089	6162	0
146089	6163	2
146089	6164	2
146089	6165	3
146089	6166	0
146089	6167	3
146092	6162	0
146092	6163	2
146092	6164	2
146092	6165	2
146092	6166	0
146092	6167	4
146095	6162	2
146095	6163	1
146095	6164	0
146095	6165	0
146095	6166	0
146095	6167	1
146108	4629	2
146108	4630	5
146108	4631	0
146108	4632	3
146108	4633	0
146108	4634	6
146109	5387	0
146109	5388	0
146109	5389	0
146109	5390	0
146109	5391	1
146109	5392	0
146110	4629	8
146110	4630	8
146110	4631	4
146110	4632	2
146110	4633	0
146110	4634	3
146111	5387	1
146111	5388	0
146111	5389	1
146111	5390	1
146111	5391	2
